In	Out	N	*Mobile_a	Have_mu	NoGem	Agree_voi	Agree_ant	Ident_voi	Ident_ant
s/sa_{vrt}	s	4932317	0	1	0	0	0	0	0
s/sa_{vrt}	sa	1292899	1	0	0	0	0	0	0
s/sa_{b,d,g}	s_b	0	0	1	0	1	0	0	0
s/sa_{b,d,g}	z_b	607956	0	1	0	0	0	1	0
s/sa_{b,d,g}	sa_b	189256	1	0	0	0	0	0	0
s/sa_{ch,tj}	s_ch	0	0	1	0	0	1	0	0
s/sa_{ch,tj}	sh_ch	54455	0	1	0	0	0	0	1
s/sa_{ch,tj}	sa_ch	26622	1	0	0	0	0	0	0
s/sa_{dzh,dj}	s_dzh	0	0	1	0	1	1	0	0
s/sa_{dzh,dj}	zh_dzh	2706	0	1	0	0	0	1	1
s/sa_{dzh,dj}	sa_dzh	1282	1	0	0	0	0	0	0
s/sa_zh	s_zh	0	0	1	0	1	1	0	0
s/sa_zh	sh_zh	0	0	1	0	1	0	0	1
s/sa_zh	z_zh	0	0	1	0	0	1	1	0
s/sa_zh	zh_zh	4734	0	1	1	0	0	1	1
s/sa_zh	sa_zh	52012	1	0	0	0	0	0	0
s/sa_sh	s_sh	0	0	1	0	0	1	0	0
s/sa_sh	sh_sh	3157	0	1	1	0	0	0	1
s/sa_sh	sa_sh	55739	1	0	0	0	0	0	0
s/sa_z	s_z	0	0	1	0	1	0	0	0
s/sa_z	z_z	8466	0	1	1	0	0	1	0
s/sa_z	sa_z	186914	1	0	0	0	0	0	0
s/sa_s	s_s	17526	0	1	1	0	0	0	0
s/sa_s	sa_s	983977	1	0	0	0	0	0	0
